,Carpet Area,Super Area,Chennai,Delhi,Hyderabad,Kolkata,Mumbai,Semi-Furnished,Unfurnished,Bachelors/Family,Family,Contact Builder,Contact Owner,BHK,Size,Bathroom,0,0
229,1,0,0,0,0,1,0,0,1,1,0,0,0,2,1200,2,6.0,12
230,0,1,0,0,0,1,0,0,0,1,0,0,1,1,700,1,6.0,94
231,0,1,0,0,0,1,0,1,0,1,0,0,1,1,1000,1,6.0,91
232,0,1,0,0,0,1,0,0,1,1,0,0,0,2,1250,2,6.0,91
233,0,1,0,0,0,1,0,0,1,1,0,0,1,4,1600,3,5.0,93
234,0,1,0,0,0,1,0,1,0,1,0,0,1,2,700,1,6.0,92
235,0,1,0,0,0,1,0,0,1,1,0,0,1,1,450,1,6.0,92
236,0,1,0,0,0,1,0,1,0,1,0,0,1,2,839,2,6.0,13
237,0,1,0,0,0,1,0,0,1,1,0,0,1,1,230,1,7.0,93
238,0,1,0,0,0,1,0,0,1,1,0,0,1,1,1800,1,5.0,92
239,0,1,0,0,0,1,0,0,1,1,0,0,1,2,800,2,5.0,12
240,1,0,0,0,0,1,0,1,0,1,0,0,1,1,500,1,5.0,91
241,1,0,0,0,0,1,0,0,1,0,0,0,1,2,620,1,5.0,91
242,1,0,0,0,0,1,0,0,1,1,0,0,1,2,650,1,4.0,23
243,0,1,0,0,0,1,0,1,0,1,0,0,0,1,550,1,5.0,12
244,1,0,0,0,0,1,0,0,0,0,0,0,1,2,450,2,4.0,13
245,1,0,0,0,0,1,0,0,1,0,1,0,1,3,1350,2,4.0,12
246,0,1,0,0,0,1,0,1,0,1,0,0,1,2,600,2,5.0,22
247,0,1,0,0,0,1,0,0,0,1,0,0,1,3,1200,1,5.0,24
248,0,1,0,0,0,1,0,0,1,1,0,0,0,2,700,1,6.0,12
249,1,0,0,0,0,1,0,0,0,1,0,0,1,3,800,2,6.0,13
250,1,0,0,0,0,1,0,1,0,1,0,0,1,2,600,1,6.0,93
251,0,1,0,0,0,1,0,0,1,1,0,0,1,2,900,2,6.0,13
252,0,1,0,0,0,1,0,0,1,1,0,0,1,2,750,1,5.0,91
253,0,1,0,0,0,1,0,0,1,1,0,0,1,3,1250,2,7.0,12
254,0,1,0,0,0,1,0,1,0,1,0,0,1,3,1000,3,5.0,22
255,0,1,0,0,0,1,0,1,0,1,0,0,1,2,600,1,6.0,92
256,1,0,0,0,0,1,0,0,1,1,0,0,1,2,650,1,6.0,11
257,1,0,0,0,0,1,0,0,1,0,0,0,1,2,450,1,6.0,23
258,0,1,0,0,0,1,0,0,1,1,0,0,1,3,800,2,6.0,92
259,1,0,0,0,0,1,0,1,0,1,0,0,1,3,1000,2,6.0,93
260,0,1,0,0,0,1,0,0,1,1,0,0,1,2,1000,1,6.0,93
261,1,0,0,0,0,1,0,0,0,0,0,0,0,3,1400,3,6.0,55
262,1,0,0,0,0,1,0,1,0,0,0,0,1,2,600,1,6.0,14
263,1,0,0,0,0,1,0,0,0,0,1,0,1,2,723,1,6.0,93
264,1,0,0,0,0,1,0,0,1,1,0,0,1,1,320,1,6.0,92
265,0,1,0,0,0,1,0,1,0,1,0,0,1,2,900,1,6.0,93
266,1,0,0,0,0,1,0,0,0,1,0,0,0,3,1400,2,5.0,92
267,0,1,0,0,0,1,0,1,0,0,0,0,1,1,2160,1,6.0,12
268,1,0,0,0,0,1,0,1,0,1,0,0,1,2,650,1,6.0,92
269,0,1,0,0,0,1,0,1,0,1,0,0,1,2,800,1,6.0,11
270,0,1,0,0,0,1,0,1,0,1,0,0,1,3,800,1,6.0,23
271,1,0,0,0,0,1,0,0,1,1,0,0,1,1,500,1,5.0,92
272,0,1,0,0,0,1,0,1,0,1,0,0,1,3,1700,2,6.0,12
273,1,0,0,0,0,1,0,1,0,1,0,0,1,1,130,1,4.0,92
274,0,1,0,0,0,1,0,0,0,1,0,0,1,1,505,1,5.0,93
275,0,1,0,0,0,1,0,0,0,1,0,0,0,4,4000,3,7.0,93
276,0,1,0,0,0,1,0,0,1,1,0,0,1,3,1250,2,5.0,92
277,1,0,0,0,0,1,0,0,1,1,0,0,1,1,700,1,6.0,92
278,0,1,0,0,0,1,0,0,1,0,0,0,1,2,900,1,6.0,91
279,0,1,0,0,0,1,0,1,0,1,0,0,1,1,650,1,6.0,11
280,0,1,0,0,0,1,0,0,0,1,0,0,1,2,750,1,6.0,91
281,1,0,0,0,0,1,0,0,1,1,0,0,1,2,450,1,5.0,93
282,1,0,0,0,0,1,0,1,0,1,0,0,1,1,350,1,6.0,12
283,1,0,0,0,0,1,0,0,0,0,0,0,1,1,480,2,6.0,12
284,0,1,0,0,0,1,0,0,1,1,0,0,1,2,900,1,6.0,93
285,0,1,0,0,0,1,0,1,0,1,0,0,1,1,200,1,5.0,92
286,0,1,0,0,0,1,0,0,1,1,0,0,1,3,1100,3,6.0,23
287,1,0,0,0,0,1,0,0,1,1,0,0,1,2,800,1,4.0,12
288,1,0,0,0,0,1,0,0,0,1,0,0,1,3,1000,2,6.0,92
289,1,0,0,0,0,1,0,0,1,1,0,0,1,1,800,1,6.0,12
290,0,1,0,0,0,1,0,1,0,1,0,0,1,1,200,1,6.0,84
291,1,0,0,0,0,1,0,0,1,1,0,0,1,3,1190,2,6.0,12
292,1,0,0,0,0,1,0,0,1,0,0,0,0,2,900,2,5.0,92
293,0,1,0,0,0,1,0,0,1,1,0,0,1,2,1500,2,5.0,92
294,0,1,0,0,0,1,0,0,1,1,0,0,1,2,600,1,5.0,23
295,0,1,0,0,0,1,0,0,1,1,0,0,1,3,800,1,5.0,94
296,1,0,0,0,0,1,0,0,1,0,1,0,1,2,800,2,5.0,12
297,1,0,0,0,0,1,0,1,0,1,0,0,1,3,900,2,6.0,93
298,1,0,0,0,0,1,0,1,0,1,0,0,1,1,350,1,4.0,93
299,1,0,0,0,0,1,0,0,1,1,0,0,1,2,800,1,6.0,92
300,1,0,0,0,0,1,0,0,1,0,0,0,1,2,1600,2,6.0,93
301,1,0,0,0,0,1,0,1,0,1,0,0,1,3,1012,2,5.0,23
302,1,0,0,0,0,1,0,0,1,0,0,0,1,3,1200,2,4.0,92
303,0,1,0,0,0,1,0,0,0,1,0,0,1,2,700,1,4.0,12
304,0,1,0,0,0,1,0,1,0,1,0,0,1,2,1000,1,5.0,13
305,1,0,0,0,0,1,0,0,1,0,0,0,1,2,800,1,6.0,93
306,0,1,0,0,0,1,0,1,0,1,0,0,1,1,500,1,5.0,91
307,1,0,0,0,0,1,0,1,0,0,0,0,1,3,1200,2,5.0,91
308,1,0,0,0,0,1,0,0,1,0,0,0,0,1,450,1,6.0,92
309,1,0,0,0,0,1,0,0,1,1,0,0,1,3,950,2,6.0,92
310,1,0,0,0,0,1,0,0,1,1,0,0,0,1,350,1,6.0,92
311,1,0,0,0,0,1,0,0,1,1,0,0,0,1,450,1,6.0,93
312,1,0,0,0,0,1,0,1,0,0,0,0,1,1,550,1,5.0,92
313,1,0,0,0,0,1,0,0,1,0,0,0,1,2,300,1,5.0,91
314,0,1,0,0,0,1,0,1,0,1,0,0,1,3,1250,2,5.0,93
315,0,1,0,0,0,1,0,0,1,1,0,0,1,2,700,1,6.0,23
316,0,1,0,0,0,1,0,0,1,1,0,0,1,3,812,2,5.0,93
317,0,1,0,0,0,1,0,0,1,1,0,0,1,2,550,1,6.0,92
318,0,1,0,0,0,1,0,1,0,1,0,0,1,1,500,1,6.0,91
319,1,0,0,0,0,1,0,0,0,0,0,0,1,1,320,1,6.0,12
320,0,1,0,0,0,1,0,0,1,1,0,0,1,2,600,1,5.0,92
321,1,0,0,0,0,1,0,0,1,0,0,0,1,2,420,1,6.0,92
322,0,1,0,0,0,1,0,0,1,0,0,0,1,3,1100,1,6.0,92
323,0,1,0,0,0,1,0,0,1,1,0,0,1,1,220,1,6.0,34
324,1,0,0,0,0,1,0,1,0,1,0,0,1,2,700,2,6.0,92
325,1,0,0,0,0,1,0,0,1,1,0,0,0,3,1200,2,6.0,92
